raw_material_id;name;composition_id;cost_per_t;premium;currency;t_CO2_per_t
R1;Si;25;2800;0;USD;1
R2;Fe;26;313;0;USD;5
R3;Cu ;27;8750;0;USD;0.5
R4;Mn ;28;2500;0;USD;0
R5;Mg ;29;3200;0;USD;1
R6;Cr ;30;9953;0;EUR;10
R7;Zn ;31;2955;0;CNY;3
R8;Ti ;32;4960;0;USD;1
R9;P1020;33;2400;1;USD;7
R10;P0202;34;2700;1;USD;6
