id_alloy;name;Si;Fe;Cu;Mn;Mg;Cr;Zn;Ti;cost_by_t;premium;currency;t_CO2/t
1;Si;99;1;;;;;;;2800;0;USD;1
2;Fe;2;98;;;;;;;313;0;USD;5
3;Cu ;;;100;;;;;;8750;0;USD;0,5
4;Mn ;;;;98;;;;;2500;0;USD;0
5;Mg ;;;;;99;;;;3200;0;USD;1
6;Cr ;1;;;;;99;;;9953;0;Eur;10
7;Zn ;;1;;;;;98;;2955;0;CNY;3
8;Ti ;;;;;;;;99;4960;0;USD;1
9;P1020;0,1;0,2;;;;;;;2400;1;USD;7
10;P0202;0,02;0,02;;;;;;;2700;1;USD;6
